transaction_id,amount,transaction_type,merchant_category,customer_age,card_type,country,hour,device,is_fraud
TXN100179,481.77,online,Travel,2.0,Credit,UK,26,,1
TXN100180,,ATM,electronics,29.0,Debit,India,-1,mobile,0
TXN100181,1058.58,pos,grocry,87.0,CREDIT,India,26,,0
TXN100182,,pos,food,90.0,debit,UK,28,mobile,0
TXN100183,8131.86,ONLINE,grocry,,debit,UK,18,,1
TXN100184,11934.33,pos,electronics,5.0,CREDIT,UAE,-5,mobile,1
TXN100185,,pos,entertainment,,debit,UK,2,POS,1
TXN100186,abc,Online,entertainment,54.0,Debit,usa,-1,,0
TXN100187,,pos,Electronics,2.0,CREDIT,USA,14,,1
TXN100188,6173.86,Online,Travel,,Credit,UK,6,,1
TXN100189,7810.85,ONLINE,travel,36.0,Credit,canada,30,web,1
TXN100190,6326.91,ATM,Travel,,debit,UK,-3,,1
TXN100191,680.73,POS,travel,,CREDIT,USA,-5,POS,0
TXN100192,,Online,food,92.0,CREDIT,india,10,,0
TXN100193,1279.37,online,grocry,58.0,Credit,UAE,14,web,0
TXN100194,abc,online,Travel,2.0,credit,canada,29,web,1
TXN100195,646.7,online,Electronics,2.0,Debit,UAE,-5,mobile,1
TXN100196,9223.14,POS,grocry,32.0,credit,Canada,-3,web,1
TXN100197,964.16,pos,groceries,92.0,Credit,UK,-1,web,0
TXN100198,134.6,pos,food,7.0,Credit,india,25,,1
TXN100199,902.01,ATM,travel,9.0,debit,india,20,,1
TXN100200,581.9,pos,groceries,,Debit,canada,11,,0
TXN100201,1431.91,pos,grocry,18.0,credit,canada,29,,0
TXN100202,,online,electronics,35.0,Debit,India,-1,,0
TXN100203,953.27,ONLINE,food,4.0,credit,canada,28,mobile,1
TXN100204,12416.94,online,groceries,3.0,debit,Canada,30,POS,1
TXN100205,abc,ATM,grocry,,CREDIT,usa,8,,0
TXN100206,,pos,electronics,41.0,Debit,usa,7,mobile,0
TXN100207,,Online,electronics,,Credit,Canada,-2,POS,0
TXN100208,1239.87,pos,groceries,29.0,debit,usa,-3,POS,0
TXN100209,abc,Online,travel,5.0,debit,Canada,18,,1
TXN100210,1141.92,POS,groceries,32.0,CREDIT,USA,30,POS,0
TXN100211,10298.14,POS,entertainment,87.0,credit,USA,27,POS,1
TXN100212,690.39,pos,electronics,58.0,debit,UK,-3,,0
TXN100213,abc,POS,travel,2.0,Debit,usa,-5,,1
TXN100214,abc,Online,entertainment,37.0,credit,UK,30,,0
TXN100215,abc,Online,grocry,,Debit,USA,21,mobile,0
TXN100216,13546.01,online,entertainment,24.0,credit,India,-4,POS,1
TXN100217,1031.0,pos,travel,76.0,Credit,UAE,-5,mobile,0
TXN100218,9609.95,pos,food,70.0,debit,canada,5,POS,1
TXN100219,423.38,pos,Electronics,,Debit,UAE,-5,web,0
TXN100220,11426.53,ATM,groceries,,CREDIT,Canada,12,POS,1
TXN100221,abc,online,entertainment,6.0,Credit,usa,26,mobile,1
TXN100222,,ONLINE,electronics,94.0,CREDIT,USA,28,web,0
TXN100223,,pos,travel,29.0,credit,India,24,,0
TXN100224,14178.96,Online,Travel,63.0,credit,UK,18,,1
TXN100225,abc,ATM,food,90.0,CREDIT,UK,30,,0
TXN100226,abc,Online,electronics,5.0,Credit,USA,27,mobile,1
TXN100227,8182.17,ATM,grocry,87.0,credit,India,25,mobile,1
TXN100228,abc,POS,groceries,34.0,CREDIT,india,-5,,0
TXN100229,,POS,food,40.0,debit,India,5,POS,0
TXN100230,35.02,online,Travel,28.0,Debit,usa,-1,mobile,0
TXN100231,,Online,groceries,6.0,debit,india,21,mobile,1
TXN100232,,Online,groceries,41.0,CREDIT,UAE,6,web,0
TXN100233,,online,travel,,CREDIT,usa,20,POS,0
TXN100234,,online,travel,8.0,CREDIT,USA,24,POS,1
TXN100235,9139.87,pos,groceries,,Debit,UAE,-4,mobile,1
TXN100236,595.23,pos,electronics,8.0,Credit,India,4,,1
TXN100237,13225.64,pos,travel,,Debit,canada,-3,,1
TXN100238,,online,food,27.0,credit,usa,-1,POS,0
TXN100239,,online,electronics,,credit,canada,24,,0
TXN100240,1381.65,ONLINE,travel,37.0,Credit,UK,-2,POS,0
TXN100241,1094.56,Online,entertainment,92.0,credit,UK,29,,0
TXN100242,207.8,Online,Electronics,4.0,credit,UAE,1,POS,1
TXN100243,,ATM,grocry,88.0,debit,UAE,28,POS,0
TXN100244,abc,ATM,grocry,36.0,Credit,India,7,POS,0
TXN100245,979.12,POS,electronics,59.0,Credit,india,29,POS,0
TXN100246,abc,POS,travel,,Debit,usa,-1,,0
TXN100247,abc,ATM,grocry,90.0,CREDIT,india,8,,0
TXN100248,,ATM,Travel,,CREDIT,india,27,mobile,0
TXN100249,14947.54,ONLINE,Electronics,,CREDIT,india,-1,mobile,1
TXN100250,12409.19,ATM,Travel,88.0,Credit,india,-3,,1
TXN100251,,online,grocry,48.0,debit,india,13,web,0
TXN100252,,Online,Travel,,CREDIT,UK,-5,POS,0
TXN100253,12735.42,POS,grocry,,debit,canada,15,,1
TXN100254,303.12,ONLINE,Electronics,1.0,Credit,Canada,-4,,1
TXN100255,885.06,ONLINE,travel,94.0,debit,UK,10,web,0
TXN100256,,online,Electronics,32.0,Debit,UK,29,mobile,0
TXN100257,565.91,pos,groceries,60.0,credit,usa,13,,0
TXN100258,12018.68,ATM,groceries,37.0,Debit,india,19,,1
TXN100259,1246.83,ONLINE,grocry,2.0,Debit,India,-1,,1
TXN100260,,Online,entertainment,39.0,credit,usa,18,,0
TXN100261,abc,ATM,Electronics,,credit,usa,-5,POS,0
TXN100262,1203.39,online,groceries,3.0,CREDIT,Canada,26,mobile,1
TXN100263,562.07,POS,food,,debit,canada,20,mobile,0
TXN100264,1472.45,POS,entertainment,,Credit,canada,24,web,0
TXN100265,,POS,groceries,95.0,credit,India,28,,0
TXN100266,11617.13,POS,Travel,60.0,credit,UK,-2,web,1
TXN100267,9916.48,ONLINE,travel,,debit,India,27,,1
TXN100268,abc,online,entertainment,,debit,USA,17,,0
TXN100269,11375.38,ATM,entertainment,78.0,Credit,UAE,30,,1
TXN100270,,online,grocry,85.0,CREDIT,india,26,mobile,0
TXN100271,6641.55,ATM,food,5.0,Credit,usa,12,POS,1
TXN100272,166.11,POS,entertainment,10.0,debit,USA,-5,,1
TXN100273,10083.33,ATM,electronics,,Debit,Canada,27,web,1
TXN100274,abc,POS,electronics,94.0,Debit,Canada,22,web,0
TXN100275,abc,ATM,electronics,93.0,credit,Canada,28,,0
TXN100276,abc,POS,groceries,,Credit,USA,-5,web,0
TXN100277,11833.9,online,travel,85.0,debit,usa,19,,1
TXN100278,abc,ATM,groceries,,CREDIT,USA,25,,0
TXN100279,abc,pos,Electronics,,Credit,usa,29,mobile,0
TXN100280,abc,Online,electronics,85.0,debit,UK,26,mobile,0
TXN100281,abc,POS,Travel,6.0,Credit,usa,27,,1
TXN100282,8494.03,ATM,Travel,6.0,Debit,UAE,24,POS,1
TXN100283,14044.96,online,Travel,91.0,Debit,india,-1,,1
TXN100284,1205.21,ONLINE,Electronics,38.0,Credit,USA,25,web,0
TXN100285,1298.1,Online,food,2.0,credit,UAE,22,mobile,1
TXN100286,86.13,pos,Electronics,,debit,canada,-3,mobile,0
TXN100287,804.58,ATM,groceries,62.0,CREDIT,india,-5,,0
TXN100288,,Online,Electronics,93.0,Credit,india,24,,0
TXN100289,,pos,grocry,4.0,debit,UK,25,POS,1
TXN100290,295.52,pos,entertainment,86.0,credit,india,29,,0
TXN100291,8571.38,online,travel,88.0,debit,UAE,-1,,1
TXN100292,abc,POS,electronics,6.0,debit,india,29,POS,1
TXN100293,abc,ONLINE,entertainment,53.0,CREDIT,UK,26,mobile,0
TXN100294,1092.5,pos,food,67.0,Debit,india,27,web,0
TXN100295,abc,Online,entertainment,,CREDIT,USA,30,web,0
TXN100296,6403.71,Online,electronics,65.0,Credit,UAE,-5,web,1
TXN100297,abc,POS,entertainment,76.0,CREDIT,usa,-1,POS,0
TXN100298,,ATM,food,41.0,Debit,india,-4,POS,0
TXN100299,,pos,groceries,3.0,Credit,usa,16,web,1
TXN100300,240.25,ATM,Electronics,,debit,UAE,25,,0
TXN100301,5431.44,Online,groceries,75.0,Credit,india,27,,1
TXN100302,abc,online,Electronics,,Credit,India,25,web,0
TXN100303,10108.05,ATM,Travel,77.0,Credit,canada,12,web,1
TXN100304,,Online,grocry,29.0,Debit,usa,2,,1
TXN100305,,pos,food,,Credit,UAE,28,,0
TXN100306,,Online,grocry,,CREDIT,India,28,mobile,0
TXN100307,8750.3,ATM,Travel,6.0,debit,india,27,POS,1
TXN100308,,Online,food,9.0,CREDIT,UAE,-3,,1
TXN100309,1104.99,ATM,Electronics,3.0,Debit,canada,28,mobile,1
TXN100310,245.3,online,electronics,48.0,credit,india,24,mobile,0
TXN100311,,pos,travel,10.0,debit,UAE,30,,1
TXN100312,5336.09,pos,electronics,1.0,credit,UK,-3,POS,1
TXN100313,9054.51,pos,groceries,86.0,Debit,Canada,25,web,1
TXN100314,684.86,ONLINE,electronics,44.0,Debit,india,30,POS,0
TXN100315,abc,ATM,entertainment,,Credit,Canada,14,,0
TXN100316,5675.54,ATM,Electronics,91.0,Debit,USA,-3,mobile,1
TXN100317,abc,online,electronics,6.0,Debit,india,27,web,1
TXN100318,abc,Online,Electronics,94.0,Credit,usa,29,,0
TXN100319,922.67,POS,Travel,92.0,debit,UK,16,,0
TXN100320,,POS,groceries,6.0,debit,usa,-1,mobile,1
TXN100321,22.67,ONLINE,Travel,87.0,Credit,india,-1,web,0
TXN100322,abc,ONLINE,food,8.0,Debit,India,3,,1
TXN100323,8808.83,ATM,electronics,,debit,UK,28,POS,1
TXN100324,1179.07,POS,grocry,3.0,CREDIT,UAE,27,POS,1
TXN100325,abc,ONLINE,groceries,2.0,Debit,UK,26,,1
TXN100326,733.8,POS,travel,87.0,debit,canada,-5,web,0
TXN100327,abc,pos,food,,debit,UK,25,web,0
TXN100328,994.72,Online,electronics,43.0,debit,USA,0,mobile,1
TXN100329,,ONLINE,Electronics,5.0,Credit,UK,-5,POS,1
TXN100330,abc,pos,entertainment,,Debit,canada,-1,,0
TXN100331,,ONLINE,Travel,87.0,credit,USA,-4,,0
TXN100332,,POS,travel,7.0,credit,Canada,-2,,1
TXN100333,,POS,Electronics,2.0,Debit,india,-1,,1
TXN100334,5684.64,ONLINE,grocry,,CREDIT,UAE,6,mobile,1
TXN100335,1454.73,ONLINE,travel,8.0,credit,UK,-2,,1
TXN100336,abc,POS,groceries,39.0,CREDIT,canada,2,web,1
TXN100337,,online,grocry,,Credit,USA,6,,0
TXN100338,,ATM,travel,77.0,Debit,usa,-2,web,0
TXN100339,5520.88,online,Electronics,58.0,Credit,india,18,mobile,1
TXN100340,,ATM,electronics,2.0,debit,usa,26,mobile,1
TXN100341,94.36,Online,entertainment,93.0,debit,India,26,web,0
TXN100342,,pos,travel,8.0,Debit,Canada,26,,1
TXN100343,,ONLINE,travel,52.0,Debit,canada,24,POS,0
TXN100344,1165.14,ATM,food,,Debit,UK,-3,POS,0
TXN100345,170.14,online,electronics,29.0,debit,India,28,,0
TXN100346,abc,online,Travel,32.0,Credit,UAE,30,mobile,0
TXN100347,,ONLINE,groceries,70.0,credit,india,2,mobile,1
TXN100348,10316.61,Online,Electronics,,credit,Canada,29,,1
TXN100349,6668.09,pos,food,6.0,Debit,UAE,-3,POS,1
TXN100350,abc,pos,Electronics,,Debit,india,-2,mobile,0
TXN100351,1090.84,pos,electronics,85.0,Credit,India,30,POS,0
TXN100352,10112.71,online,groceries,6.0,CREDIT,Canada,-4,POS,1
TXN100353,8997.98,ATM,grocry,6.0,debit,usa,24,,1
TXN100354,abc,ONLINE,food,44.0,debit,USA,-1,,0
TXN100355,8268.32,Online,groceries,61.0,Credit,canada,9,POS,1
TXN100356,128.4,pos,food,,Credit,UK,-1,,0
TXN100357,6960.99,Online,grocry,35.0,credit,canada,13,POS,1
TXN100358,abc,Online,Travel,8.0,debit,USA,-4,web,1
TXN100359,1137.81,ATM,groceries,87.0,credit,Canada,-5,,0
TXN100360,7090.1,Online,travel,8.0,credit,canada,-1,web,1
TXN100361,abc,online,entertainment,,CREDIT,Canada,26,,0
TXN100362,350.6,ONLINE,entertainment,73.0,Credit,India,28,mobile,0
TXN100363,abc,ONLINE,entertainment,85.0,CREDIT,Canada,25,POS,0
TXN100364,,online,travel,,Credit,usa,28,,0
TXN100365,,Online,electronics,94.0,debit,UK,28,web,0
TXN100366,8089.98,POS,electronics,87.0,credit,usa,5,mobile,1
TXN100367,,POS,travel,5.0,credit,UK,30,,1
TXN100368,10670.43,pos,Electronics,32.0,debit,UK,27,POS,1
TXN100369,,Online,electronics,,credit,india,29,web,0
TXN100370,,pos,entertainment,6.0,debit,canada,-1,POS,1
TXN100371,594.26,pos,grocry,8.0,Debit,canada,-5,,1
TXN100372,14625.92,ONLINE,entertainment,,Credit,canada,24,,1
TXN100373,,online,grocry,10.0,debit,canada,10,,1
TXN100374,12126.34,POS,grocry,6.0,credit,usa,-2,mobile,1
TXN100375,8840.87,POS,food,3.0,Credit,UK,-5,POS,1
TXN100376,abc,ATM,electronics,25.0,Debit,india,-2,,0
TXN100377,,Online,Electronics,,debit,usa,19,,0
TXN100378,11286.35,online,electronics,95.0,credit,UK,30,POS,1
TXN100379,500.01,POS,electronics,5.0,debit,Canada,-5,POS,1
TXN100380,556.01,POS,grocry,36.0,CREDIT,Canada,16,web,0
TXN100381,920.02,POS,travel,90.0,Debit,Canada,-1,,0
TXN100382,9977.41,pos,Electronics,63.0,credit,USA,14,,1
TXN100383,abc,ONLINE,Electronics,89.0,credit,india,-1,mobile,0
TXN100384,,ATM,groceries,88.0,CREDIT,UAE,15,,0
TXN100385,abc,POS,food,93.0,Debit,Canada,17,,0
TXN100386,abc,online,electronics,,Debit,UK,18,,0
TXN100387,abc,ATM,Travel,,credit,UAE,-3,web,0
TXN100388,abc,online,Electronics,76.0,debit,UK,27,,0
TXN100389,468.99,pos,electronics,,Debit,usa,24,,0
TXN100390,1308.45,online,travel,10.0,CREDIT,India,26,POS,1
TXN100391,abc,Online,electronics,35.0,Credit,Canada,17,POS,0
TXN100392,abc,pos,Travel,8.0,credit,UAE,-5,mobile,1
TXN100393,,pos,Travel,37.0,debit,UK,-2,POS,0
TXN100394,,POS,Electronics,87.0,CREDIT,canada,-3,,0
TXN100395,733.82,ONLINE,entertainment,89.0,Debit,UK,27,mobile,0
TXN100396,abc,pos,entertainment,10.0,Debit,India,-4,mobile,1
TXN100397,,POS,Travel,52.0,Debit,UAE,-1,POS,0
TXN100398,13220.23,ONLINE,food,,CREDIT,UAE,20,web,1
TXN100399,1331.46,Online,electronics,,Debit,UAE,-4,POS,0
TXN100400,abc,POS,Travel,,Credit,india,1,mobile,1
TXN100401,abc,online,travel,,Debit,canada,-3,,0
TXN100402,10451.19,POS,electronics,91.0,debit,UK,9,mobile,1
TXN100403,,ATM,food,3.0,debit,UAE,27,web,1
TXN100404,,POS,Travel,32.0,Debit,UAE,29,POS,0
TXN100405,abc,online,groceries,54.0,Debit,UAE,25,,0
TXN100406,abc,POS,grocry,10.0,debit,usa,30,POS,1
TXN100407,921.49,POS,entertainment,94.0,debit,Canada,9,,0
TXN100408,abc,online,entertainment,55.0,CREDIT,USA,9,,0
TXN100409,abc,Online,travel,35.0,Debit,UK,-4,POS,0
TXN100410,7612.53,POS,electronics,85.0,credit,UK,-4,,1
TXN100411,,ATM,electronics,31.0,CREDIT,usa,-4,,0
TXN100412,12461.51,POS,food,,credit,india,-2,,1
TXN100413,abc,POS,travel,39.0,CREDIT,canada,29,,0
TXN100414,10199.52,ONLINE,groceries,61.0,debit,usa,-5,POS,1
TXN100415,7832.97,online,groceries,2.0,Debit,usa,24,web,1
TXN100416,12638.58,online,electronics,34.0,debit,india,13,mobile,1
