transaction_id,amount,customer_age,hour,transaction_type,merchant_category,card_type,country,device,is_fraud
TXN100092,171.65,65.0,11,cash_withdrawal,grocery,credit,Somalia,web,0
TXN100093,98.87,25.0,9,purchase,telecom,credit,Kenya,mobile,0
TXN100094,176.87,53.0,17,transfer,,credit,Kenya,mobile,0
TXN100095,81.7,46.0,17,transfer,telecom,credit,Djibouti,mobile,0
TXN100096,88.76,59.0,3,transfer,travel,credit,Somalia,mobile,0
TXN100097,66.94,29.0,8,cash_withdrawal,electronics,debit,Somalia,web,0
TXN100098,3.09,,6,purchase,travel,credit,Djibouti,web,0
TXN100099,13.7,65.0,17,purchase,travel,credit,Kenya,web,0
TXN100100,3.83,71.0,7,transfer,grocery,debit,Kenya,mobile,0
TXN100101,121.41,67.0,10,cash_withdrawal,travel,credit,Somalia,mobile,0
TXN100102,45.29,38.0,6,purchase,grocery,credit,Somalia,mobile,0
TXN100103,85.25,39.0,8,cash_withdrawal,grocery,credit,Somalia,Mobile,0
TXN100104,285.75,38.0,7,purchase,grocery,credit,Somalia,web,0
TXN100105,34.41,,2,transfer,grocery,debit,Somalia,web,0
TXN100106,63.39,67.0,16,cash_withdrawal,grocery,debit,Somalia,Mobile,0
TXN100107,169.05,47.0,1,transfer,,credit,Kenya,mobile,0
TXN100108,31.18,56.0,14,purchase,grocery,debit,Somalia,web,0
TXN100109,9.61,37.0,13,purchase,electronics,debit,Somalia,web,0
TXN100110,41.06,41.0,17,transfer,grocery,debit,Somalia,web,0
TXN100111,21.1,,15,purchase,telecom,debit,Somalia,web,0
TXN100112,318.59,24.0,19,transfer,electronics,debit,Somalia,mobile,0
TXN100113,198.11,26.0,21,transfer,electronics,debit,Somalia,mobile,0
TXN100114,120.42,18.0,3,transfer,telecom,credit,Somalia,web,0
TXN100115,246.18,,19,purchase,electronics,credit,Kenya,web,0
TXN100116,195.36,55.0,5,cash_withdrawal,,debit,Somalia,web,0
TXN100117,24.78,55.0,5,transfer,travel,debit,Kenya,web,0
TXN100118,267.7,71.0,10,cash_withdrawal,travel,debit,Ethiopia,web,0
TXN100119,93.01,,16,purchase,grocery,credit,Kenya,mobile,0
TXN100120,197.68,39.0,23,purchase,grocery,credit,Somalia,web,0
TXN100121,271.71,61.0,2,cash_withdrawal,grocery,credit,Somalia,web,0
TXN100122,45.93,27.0,12,transfer,grocery,credit,Kenya,web,0
TXN100123,13.99,72.0,21,purchase,telecom,credit,Djibouti,mobile,0
TXN100124,31.04,,2,transfer,travel,credit,Djibouti,mobile,0
TXN100125,66.85,34.0,15,transfer,telecom,debit,Somalia,mobile,0
TXN100126,204.46,68.0,14,cash_withdrawal,electronics,credit,Kenya,mobile,0
TXN100127,236.56,67.0,10,purchase,electronics,credit,Ethiopia,Mobile,0
TXN100128,0.84,55.0,17,cash_withdrawal,electronics,credit,Ethiopia,web,0
TXN100129,85.79,41.0,14,purchase,electronics,debit,Somalia,web,0
TXN100130,64.83,68.0,4,cash_withdrawal,electronics,credit,Somalia,mobile,0
TXN100131,30.14,27.0,15,purchase,travel,debit,Somalia,Mobile,no
TXN100132,15.32,73.0,15,purchase,,debit,Somalia,mobile,0
TXN100133,49.43,25.0,16,purchase,electronics,credit,Kenya,web,0
TXN100134,343.57,,8,transfer,grocery,credit,Djibouti,mobile,0
TXN100135,46.85,73.0,22,transfer,travel,credit,Ethiopia,mobile,0
TXN100136,87.77,97.0,2,cash_withdrawal,,debit,Somalia,mobile,0
TXN100137,145.69,38.0,19,cash_withdrawal,travel,credit,Kenya,web,0
TXN100138,54.24,74.0,12,purchase,travel,debit,Somalia,mobile,0
TXN100139,428.14,56.0,21,purchase,grocery,debit,Kenya,web,0
TXN100140,393.84,41.0,2,transfer,,credit,Kenya,web,0
TXN100141,34.81,50.0,6,transfer,,credit,Somalia,web,0
TXN100142,82.52,35.0,5,transfer,grocery,credit,Somalia,web,0
TXN100143,42.95,,8,cash_withdrawal,telecom,debit,Somalia,web,0
TXN100144,10853.553856617431,45.0,11,transfer,travel,credit,Somalia,web,0
TXN100145,4.51,74.0,14,cash_withdrawal,travel,debit,Ethiopia,web,0
TXN100146,112.86,69.0,20,transfer,electronics,credit,Somalia,,0
TXN100147,83.82,,19,transfer,travel,debit,Somalia,WEB,0
TXN100148,6.34,,2,purchase,grocery,credit,Somalia,mobile,0
TXN100149,39.2,65.0,9,cash_withdrawal,travel,credit,Ethiopia,web,0
TXN100150,2044.4571124263073,59.0,3,transfer,travel,debit,Somalia,web,1
TXN100151,32.86,44.0,18,purchase,grocery,debit,Somalia,web,0
TXN100152,18.78,27.0,18,cash_withdrawal,grocery,credit,Kenya,mobile,0
TXN100153,80.67,63.0,22,cash_withdrawal,travel,debit,Somalia,web,0
TXN100154,509.28,,22,transfer,telecom,debit,Somalia,Web,0
TXN100155,33.26,69.0,12,cash_withdrawal,grocery,debit,Kenya,web,0
TXN100156,133.82,59.0,11,purchase,telecom,debit,Somalia,web,0
TXN100157,172.07,49.0,0,purchase,telecom,credit,Ethiopia,web,0
TXN100158,32.56,59.0,18,cash_withdrawal,electronics,debit,Kenya,web,0
TXN100159,156.33,,23,purchase,telecom,credit,Somalia,Mobile,0
TXN100160,55.02,42.0,15,cash_withdrawal,electronics,credit,Somalia,mobile,0
TXN100161,120.06,28.0,22,purchase,telecom,credit,Ethiopia,mobile,0
TXN100162,120.46,,22,cash_withdrawal,electronics,debit,Kenya,mobile,0
TXN100163,92.09,51.0,14,cash_withdrawal,grocery,credit,Somalia,web,0
TXN100164,11.36,74.0,15,cash_withdrawal,travel,credit,Somalia,mobile,0
TXN100165,216.44,69.0,10,purchase,travel,credit,Somalia,web,0
TXN100166,46.42,57.0,23,cash_withdrawal,electronics,credit,Kenya,mobile,0
TXN100167,24.77,,5,cash_withdrawal,grocery,credit,Ethiopia,mobile,0
TXN100168,5.0,46.0,10,transfer,electronics,debit,Kenya,web,0
TXN100169,107.25,48.0,2,transfer,electronics,credit,Somalia,web,0
TXN100170,135.82,24.0,14,cash_withdrawal,grocery,debit,Somalia,web,0
TXN100171,2.01,57.0,0,transfer,telecom,credit,Kenya,web,0
TXN100172,86.12,50.0,6,cash_withdrawal,telecom,credit,Djibouti,web,0
TXN100173,30.82,38.0,0,transfer,grocery,debit,Somalia,mobile,0
TXN100174,124.33,19.0,16,purchase,electronics,debit,Somalia,web,0
TXN100175,22.99,35.0,8,purchase,travel,credit,Somalia,mobile,no
TXN100176,140.91,64.0,22,cash_withdrawal,electronics,credit,Somalia,mobile,0
TXN100177,58.68,50.0,12,cash_withdrawal,telecom,credit,Kenya,web,0
TXN100178,331.24,54.0,10,purchase,grocery,credit,Ethiopia,mobile,0
TXN100179,17.75,51.0,19,purchase,grocery,credit,Somalia,,0
TXN100180,50.06,37.0,5,transfer,grocery,debit,Somalia,web,0
TXN100181,14.45,52.0,0,cash_withdrawal,telecom,credit,Somalia,web,0
TXN100182,310.34,68.0,6,purchase,electronics,credit,Ethiopia,mobile,0
TXN100183,251.8,67.0,11,purchase,grocery,debit,Somalia,mobile,0
TXN100184,35.8,71.0,21,cash_withdrawal,travel,debit,Somalia,mobile,0
TXN100185,129.45,35.0,19,transfer,grocery,credit,Somalia,web,0
TXN100186,203.94,63.0,22,transfer,electronics,debit,Somalia,web,0
TXN100187,97.22,,18,transfer,telecom,debit,Ethiopia,web,yes
TXN100188,90.51,25.0,16,transfer,travel,debit,Somalia,mobile,0
TXN100189,33.23,47.0,3,purchase,travel,credit,Somalia,mobile ,0
TXN100190,11.73,61.0,2,cash_withdrawal,grocery,credit,Kenya,Mobile,0
TXN100191,1879.9400053099628,70.0,23,cash_withdrawal,electronics,credit,Somalia,web,1
TXN100192,276.81,27.0,17,purchase,grocery,debit,Somalia,mobile,0
TXN100193,120.32,40.0,20,purchase,travel,credit,Ethiopia,mobile,0
TXN100194,49.69,69.0,14,purchase,grocery,credit,Kenya,web,0
TXN100195,51.55,66.0,7,cash_withdrawal,electronics,debit,Kenya,web,0
TXN100196,5725.097358486809,28.0,0,cash_withdrawal,telecom,credit,Kenya,web,0
TXN100197,272.89,19.0,19,cash_withdrawal,travel,debit,Djibouti,web,0
TXN100198,261.74,43.0,13,transfer,electronics,debit,Somalia,web,0
TXN100199,181.63,53.0,3,purchase,grocery,debit,Somalia,web,0
TXN100200,123.28,50.0,4,purchase,travel,debit,Somalia,web,0
TXN100201,10.55,64.0,22,purchase,grocery,credit,Somalia,mobile,0
TXN100202,21.16,30.0,12,cash_withdrawal,grocery,credit,Somalia,web,0
TXN100203,274.59,57.0,23,purchase,telecom,credit,Djibouti,web,0
TXN100204,111.9,42.0,14,purchase,grocery,debit,Ethiopia,mobile,0
TXN100205,1.11,21.0,5,transfer,grocery,credit,Somalia,mobile,0
TXN100206,12.84,59.0,0,cash_withdrawal,electronics,credit,Somalia,mobile,0
TXN100207,130.7,36.0,22,purchase,grocery,debit,Somalia,mobile,0
TXN100208,0.61,,18,cash_withdrawal,telecom,debit,Ethiopia,web,0
TXN100209,21.04,,12,cash_withdrawal,grocery,credit,Somalia,web,0
TXN100210,95.48,47.0,5,cash_withdrawal,grocery,debit,Kenya,mobile,0
TXN100211,141.28,36.0,14,transfer,grocery,credit,Ethiopia,mobile,0
TXN100212,126.65,40.0,15,cash_withdrawal,,debit,Somalia,web,0
TXN100213,30.47,71.0,23,cash_withdrawal,telecom,debit,Ethiopia,mobile,0
TXN100214,149.45,33.0,22,cash_withdrawal,,credit,Somalia,mobile,0
TXN100215,32.5,18.0,15,purchase,telecom,debit,Kenya,web,0
TXN100216,47.24,29.0,9,transfer,,debit,Somalia,mobile,0
TXN100217,164.68,41.0,21,purchase,electronics,debit,Somalia,web,0
TXN100218,125.85,51.0,8,transfer,travel,credit,Djibouti,mobile,0
TXN100219,227.03,70.0,8,transfer,telecom,credit,Kenya,web,0
TXN100220,128.62,74.0,16,cash_withdrawal,telecom,credit,Somalia,mobile,0
TXN100221,100.81,25.0,16,cash_withdrawal,electronics,debit,Somalia,web,0
TXN100222,11.8,35.0,16,purchase,travel,debit,Somalia,web,0
TXN100223,55.01,,23,transfer,grocery,debit,Kenya,mobile,0
TXN100224,36.98,65.0,11,cash_withdrawal,electronics,debit,Somalia,,0
TXN100225,33.56,22.0,12,cash_withdrawal,telecom,credit,Ethiopia,mobile,0
TXN100226,433.48,43.0,11,cash_withdrawal,travel,credit,Somalia,mobile,0
TXN100227,59.93,47.0,13,cash_withdrawal,telecom,debit,Somalia,mobile,0
TXN100228,5005.241040704807,,9,purchase,electronics,credit,Kenya,web,0
TXN100229,119.68,30.0,22,purchase,electronics,credit,Somalia,,0
TXN100230,190.06,36.0,18,cash_withdrawal,travel,credit,Ethiopia,web,0
TXN100231,83.81,46.0,1,cash_withdrawal,electronics,debit,Kenya,web,0
TXN100232,103.22,,3,cash_withdrawal,electronics,credit,Somalia,mobile,0
TXN100233,81.4,43.0,18,cash_withdrawal,grocery,credit,Kenya,web,0
TXN100234,26.07,,6,cash_withdrawal,telecom,credit,Somalia,web,0
TXN100235,153.81,29.0,14,transfer,grocery,credit,Somalia,web,0
TXN100236,39.55,19.0,14,transfer,grocery,credit,Somalia,mobile,0
TXN100237,2.95,28.0,23,transfer,travel,debit,Kenya,mobile,0
TXN100238,124.44,61.0,5,transfer,electronics,credit,Somalia,mobile ,0
TXN100239,23.39,45.0,2,cash_withdrawal,telecom,credit,Somalia,mobile,0
TXN100240,338.53,35.0,5,transfer,,debit,Somalia,mobile ,0
TXN100241,369.31,30.0,15,transfer,telecom,credit,Somalia,mobile,0
TXN100242,295.62,54.0,1,purchase,electronics,debit,Somalia,mobile,0
TXN100243,55.47,39.0,6,transfer,telecom,debit,Somalia,mobile,0
TXN100244,1.87,29.0,10,transfer,telecom,debit,Somalia,web,0
TXN100245,316.26,19.0,6,cash_withdrawal,,debit,Somalia,mobile,0
TXN100246,67.07,54.0,3,transfer,travel,credit,Somalia,web,0
TXN100247,408.1,24.0,23,transfer,telecom,credit,Ethiopia,mobile,0
TXN100248,397.65,43.0,19,cash_withdrawal,electronics,debit,Kenya,web,0
TXN100249,230.09,43.0,6,transfer,grocery,credit,Somalia,web,0
TXN100250,41.85,41.0,3,cash_withdrawal,electronics,debit,Ethiopia,web,0
TXN100251,14331.362867608148,29.0,11,transfer,,credit,Somalia,web,0
TXN100252,228.57,33.0,4,purchase,electronics,credit,Somalia,web,0
TXN100253,45.74,40.0,22,purchase,telecom,debit,Ethiopia,mobile,0
TXN100254,22.29,57.0,18,transfer,travel,credit,Kenya,mobile,no
TXN100255,14330.959962247754,26.0,4,purchase,travel,debit,Djibouti,web,0
TXN100256,330.16,49.0,18,cash_withdrawal,telecom,credit,Ethiopia,mobile,0
TXN100257,142.9,32.0,20,transfer,grocery,credit,Somalia,web,0
TXN100258,101.29,54.0,2,cash_withdrawal,electronics,credit,Djibouti,web,0
TXN100259,12.27,30.0,10,purchase,telecom,debit,Ethiopia,mobile,0
TXN100260,114.54,,6,cash_withdrawal,electronics,debit,Somalia,web,0
TXN100261,553.27,28.0,16,purchase,telecom,debit,Djibouti,mobile,0
TXN100262,18.11,27.0,8,purchase,telecom,credit,Somalia,web,0
TXN100263,87.66,,20,purchase,electronics,debit,Kenya,mobile,no
TXN100264,251.83,30.0,8,cash_withdrawal,travel,debit,Somalia,mobile,no
TXN100265,162.0,58.0,9,purchase,travel,debit,Somalia,web,0
TXN100266,143.29,70.0,12,transfer,grocery,credit,Kenya,mobile,0
TXN100267,145.47,63.0,14,purchase,electronics,credit,Somalia,mobile,0
TXN100268,53.46,67.0,21,transfer,grocery,credit,Kenya,web,0
TXN100269,41.71,32.0,4,transfer,telecom,credit,Somalia,web,0
TXN100270,198.88,59.0,2,transfer,grocery,debit,Somalia,web,0
TXN100271,199.36,73.0,7,transfer,telecom,credit,Somalia,mobile,0
TXN100272,242.15,,19,cash_withdrawal,electronics,debit,Kenya,mobile,0
TXN100273,293.35,57.0,9,transfer,electronics,credit,Ethiopia,,0
TXN100274,85.93,,12,purchase,electronics,debit,Kenya,web,0
TXN100275,481.60528982898666,49.0,2,transfer,electronics,debit,Kenya,Mobile,1
TXN100276,192.11,52.0,21,purchase,grocery,credit,Somalia,mobile,0
TXN100277,125.97,32.0,7,cash_withdrawal,telecom,debit,Somalia,web,0
TXN100278,145.27,65.0,8,transfer,travel,debit,Somalia,web,0
TXN100279,190.63,53.0,21,purchase,electronics,debit,Djibouti,web,0
TXN100280,264.88,38.0,20,cash_withdrawal,electronics,debit,Kenya,mobile,0
TXN100281,49.5,23.0,11,cash_withdrawal,telecom,credit,Somalia,web,0
TXN100282,56.51,18.0,10,purchase,travel,credit,Somalia,mobile,0
TXN100283,11.84,21.0,1,transfer,electronics,debit,Somalia,mobile,0
TXN100284,103.61,28.0,17,cash_withdrawal,travel,credit,Kenya,web,0
TXN100285,4.39,61.0,8,purchase,,debit,Somalia,web,0
TXN100286,75.19,43.0,1,transfer,grocery,debit,Kenya,mobile,0
TXN100287,93.88,54.0,1,cash_withdrawal,grocery,credit,Somalia,mobile,0
TXN100288,40.52,,2,purchase,,debit,Somalia,Web,0
TXN100289,107.24,46.0,15,cash_withdrawal,telecom,credit,Ethiopia,mobile,0
TXN100290,3.72,38.0,18,cash_withdrawal,telecom,debit,Somalia,mobile,0
TXN100291,4.57,65.0,3,purchase,grocery,credit,Djibouti,web,0
TXN100292,207.52,62.0,22,cash_withdrawal,telecom,credit,Somalia,mobile,0
TXN100293,53.59,62.0,17,purchase,telecom,debit,Somalia,mobile,0
TXN100294,16.31,66.0,19,transfer,telecom,credit,Somalia,WEB,0
TXN100295,88.64,44.0,17,purchase,travel,debit,Kenya,mobile,0
TXN100296,176.36,56.0,9,transfer,travel,credit,Kenya,,0
TXN100297,29.17,57.0,10,cash_withdrawal,telecom,debit,Somalia,web,0
TXN100298,117.03,30.0,16,purchase,grocery,credit,Somalia,mobile,0
TXN100299,10.71,40.0,23,purchase,telecom,credit,Kenya,mobile,0
TXN100300,6.37,33.0,22,purchase,electronics,credit,Somalia,web,0
TXN100301,90.95,47.0,23,purchase,grocery,debit,Somalia,mobile,0
TXN100302,93.35,,19,transfer,,credit,Somalia,mobile,0
TXN100303,121.74,57.0,15,transfer,electronics,debit,Kenya,web,0
TXN100304,155.4,33.0,19,cash_withdrawal,telecom,credit,Somalia,,0
TXN100305,446.83,,12,cash_withdrawal,telecom,credit,Somalia,Mobile,0
TXN100306,87.15,70.0,1,cash_withdrawal,,debit,Somalia,mobile,0
TXN100307,46.8,59.0,23,cash_withdrawal,grocery,credit,Somalia,web,0
TXN100308,190.28,,1,purchase,telecom,debit,Somalia,web,0
TXN100309,37.9,,13,transfer,telecom,debit,Ethiopia,web,0
TXN100310,69.36,29.0,3,transfer,grocery,debit,Somalia,mobile,0
TXN100311,9.8,43.0,16,transfer,electronics,debit,Somalia,mobile,0
TXN100312,3.08,54.0,12,transfer,travel,debit,Somalia,mobile,0
TXN100313,394.49,65.0,3,cash_withdrawal,grocery,credit,Ethiopia,web,0
TXN100314,216.93,,2,purchase,electronics,debit,Somalia,mobile,0
TXN100315,142.88,,11,transfer,telecom,credit,Djibouti,web,yes
TXN100316,63.1,26.0,21,purchase,travel,debit,Somalia,mobile,0
TXN100317,22.84,29.0,22,purchase,electronics,debit,Somalia,web,yes
TXN100318,20.41,,7,purchase,travel,credit,Somalia,mobile,0
TXN100319,34.56,71.0,1,purchase,travel,credit,Kenya,web,0
TXN100320,95.61,69.0,5,transfer,travel,debit,Kenya,web,0
TXN100321,150.46,71.0,21,transfer,electronics,debit,Somalia,web,0
TXN100322,129.53,45.0,9,transfer,electronics,credit,Somalia,web,0
TXN100323,39.41,73.0,11,cash_withdrawal,telecom,credit,Somalia,mobile,0
TXN100324,371.77,52.0,20,transfer,travel,debit,Somalia,web,0
TXN100325,160.68,22.0,9,cash_withdrawal,grocery,debit,Somalia,Web,0
TXN100326,96.99,51.0,9,cash_withdrawal,grocery,debit,Somalia,mobile,0
TXN100327,113.52,63.0,22,cash_withdrawal,grocery,credit,Kenya,,0
TXN100328,65.28,51.0,2,transfer,electronics,debit,Somalia,web,0
TXN100329,34.16,30.0,19,transfer,telecom,credit,Somalia,mobile,0
TXN100330,52.8,56.0,9,transfer,electronics,credit,Somalia,mobile,0
TXN100331,170.18,59.0,8,cash_withdrawal,travel,debit,Somalia,mobile,0
TXN100332,1.74,62.0,19,cash_withdrawal,grocery,debit,Somalia,mobile,0
TXN100333,14.81,65.0,18,purchase,electronics,credit,Somalia,mobile ,0
TXN100334,5.65,31.0,13,cash_withdrawal,grocery,debit,Somalia,mobile,yes
TXN100335,4.99,,1,cash_withdrawal,electronics,debit,Ethiopia,mobile,0
TXN100336,232.1,59.0,4,transfer,grocery,credit,Somalia,web,0
TXN100337,145.95,,19,purchase,travel,debit,Somalia,mobile,0
TXN100338,77.13,21.0,7,purchase,,credit,Ethiopia,mobile,0
TXN100339,12.35,70.0,6,purchase,travel,credit,Somalia,web,0
TXN100340,81.18,50.0,5,transfer,travel,debit,Ethiopia,mobile,0
TXN100341,76.97,24.0,10,purchase,electronics,credit,Somalia,mobile,0
TXN100342,22.82,73.0,11,purchase,electronics,credit,Kenya,web,0
TXN100343,68.27,58.0,17,transfer,electronics,debit,Kenya,mobile,no
TXN100344,61.0,25.0,18,purchase,travel,credit,Ethiopia,mobile,0
TXN100345,114.81,,9,cash_withdrawal,telecom,debit,Kenya,web,0
TXN100346,120.97,68.0,20,cash_withdrawal,telecom,credit,Somalia,,0
TXN100347,31.66095995273071,27.0,1,cash_withdrawal,,credit,Kenya,Web,1
TXN100348,56.33,60.0,2,cash_withdrawal,travel,credit,Somalia,web,0
TXN100349,117.97,74.0,17,cash_withdrawal,electronics,credit,Kenya,mobile ,0
TXN100350,83.93,32.0,23,cash_withdrawal,electronics,credit,Somalia,mobile,0
TXN100351,232.96,55.0,14,cash_withdrawal,electronics,credit,Kenya,web,0
TXN100352,129.0,32.0,5,cash_withdrawal,telecom,credit,Kenya,web,0
TXN100353,21.34,22.0,9,cash_withdrawal,telecom,debit,Ethiopia,,0
TXN100354,8.78,46.0,11,transfer,travel,credit,Somalia,mobile ,0
TXN100355,123.41,36.0,6,transfer,telecom,debit,Kenya,web,0
TXN100356,3.22,71.0,16,cash_withdrawal,electronics,credit,Somalia,,0
TXN100357,105.76,68.0,0,transfer,electronics,credit,Somalia,mobile,0
TXN100358,338.07,27.0,17,transfer,electronics,debit,Somalia,mobile,0
TXN100359,102.81,29.0,14,cash_withdrawal,electronics,debit,Kenya,web,0
TXN100360,58.96,71.0,18,cash_withdrawal,electronics,debit,Kenya,mobile,0
